IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.141.218,4,4,0.00,75.76,51.14,HKG
162.159.149.189,4,4,0.00,70.76,49.54,HKG
162.159.147.228,4,4,0.00,78.51,49.41,HKG
162.159.154.99,4,4,0.00,69.73,48.98,HKG
162.159.148.114,4,4,0.00,70.76,48.95,HKG
162.159.158.25,4,4,0.00,71.56,48.74,HKG
162.159.139.174,4,4,0.00,79.50,47.78,HKG
162.159.153.210,4,4,0.00,74.08,46.91,HKG
162.159.136.35,4,4,0.00,66.91,45.11,HKG
162.159.132.195,4,4,0.00,84.20,44.97,HKG
162.159.131.241,4,4,0.00,84.53,44.29,HKG
162.159.156.187,4,4,0.00,87.60,43.26,HKG
162.159.140.113,4,4,0.00,69.67,43.03,HKG
162.159.144.25,4,4,0.00,79.22,42.76,HKG
162.159.128.185,4,4,0.00,71.48,42.44,HKG
162.159.135.248,4,4,0.00,78.70,39.66,HKG
162.159.137.90,4,4,0.00,70.96,39.43,HKG
162.159.159.17,4,4,0.00,86.35,39.06,HKG
162.159.133.163,4,4,0.00,76.20,38.12,HKG
162.159.157.253,4,4,0.00,79.60,37.98,HKG
162.159.152.99,4,4,0.00,85.69,35.86,HKG
162.159.145.163,4,4,0.00,74.79,34.83,HKG
162.159.130.93,4,4,0.00,81.21,32.26,HKG
162.159.146.208,4,4,0.00,76.42,28.99,HKG
162.159.151.220,4,4,0.00,78.34,17.07,HKG
162.159.160.121,4,4,0.00,185.19,16.22,FRA
162.159.138.200,4,4,0.00,76.83,13.06,HKG
104.17.132.254,4,4,0.00,163.39,9.78,SJC
162.159.155.29,4,4,0.00,78.91,9.16,HKG
162.159.134.159,4,4,0.00,66.20,7.93,HKG
104.17.141.205,4,4,0.00,175.72,5.23,SJC
104.17.138.142,4,4,0.00,176.04,2.43,SJC
162.159.129.25,4,4,0.00,68.74,2.32,HKG
162.159.150.107,4,4,0.00,69.76,1.74,HKG
104.17.139.64,4,4,0.00,190.22,1.67,SJC
104.17.137.83,4,4,0.00,176.53,1.11,SJC
104.17.150.168,4,4,0.00,192.17,0.55,SJC
104.17.146.166,4,4,0.00,178.71,0.54,SJC
104.17.129.223,4,4,0.00,178.24,0.47,SJC
104.17.135.158,4,4,0.00,187.33,0.40,SJC
104.16.76.191,4,4,0.00,188.33,0.40,LAX
104.17.134.1,4,4,0.00,176.86,0.29,SJC
104.16.22.123,4,4,0.00,194.03,0.25,LAX
104.17.117.45,4,4,0.00,194.00,0.21,LAX
104.16.63.80,4,4,0.00,191.02,0.21,LAX
104.17.88.192,4,4,0.00,194.17,0.20,LAX
104.17.8.168,4,4,0.00,191.12,0.18,LAX
104.16.209.43,4,4,0.00,192.96,0.16,LAX
104.16.165.90,4,4,0.00,191.96,0.16,LAX
104.16.97.120,4,4,0.00,193.72,0.16,LAX
104.25.44.25,4,4,0.00,194.70,0.15,LAX
104.17.4.162,4,4,0.00,187.93,0.15,LAX
104.19.117.237,4,4,0.00,194.58,0.14,LAX
104.19.46.138,4,4,0.00,190.99,0.13,LAX
162.159.194.80,4,4,0.00,190.48,0.12,LAX
104.17.156.71,4,4,0.00,171.98,0.11,SJC
104.17.108.95,4,4,0.00,194.45,0.10,LAX
104.16.58.207,4,4,0.00,194.73,0.09,LAX
104.16.115.49,4,4,0.00,191.36,0.09,LAX
104.17.47.68,4,4,0.00,191.45,0.08,LAX
104.17.10.212,4,4,0.00,194.04,0.08,LAX
104.16.19.82,4,4,0.00,191.11,0.08,LAX
104.27.116.152,4,4,0.00,187.91,0.08,LAX
104.16.201.119,4,4,0.00,193.30,0.07,LAX
104.19.128.76,4,4,0.00,194.15,0.07,LAX
104.17.0.65,4,4,0.00,193.69,0.06,LAX
104.16.108.85,4,4,0.00,193.50,0.05,LAX
104.19.172.31,4,4,0.00,190.66,0.05,LAX
104.17.2.58,4,4,0.00,193.77,0.05,LAX
104.17.77.102,4,4,0.00,191.31,0.05,LAX
104.16.206.178,4,4,0.00,189.77,0.04,LAX
104.19.131.67,4,4,0.00,192.83,0.04,LAX
104.17.54.24,4,4,0.00,193.93,0.04,LAX
104.17.23.79,4,4,0.00,191.14,0.04,LAX
104.16.30.104,4,4,0.00,188.77,0.03,LAX
104.19.159.129,4,4,0.00,193.58,0.01,LAX
172.66.155.181,4,2,0.50,199.95,0.00,N/A
104.25.108.238,4,2,0.50,205.83,0.00,N/A
162.159.22.238,4,4,0.00,192.87,0.00,N/A
162.159.2.253,4,4,0.00,191.89,0.00,N/A
198.41.222.32,4,4,0.00,193.24,0.00,N/A
172.66.2.159,4,4,0.00,190.95,0.00,N/A
162.159.24.231,4,4,0.00,190.93,0.00,N/A
198.41.205.230,4,4,0.00,190.69,0.00,N/A
104.25.136.96,4,4,0.00,190.49,0.00,N/A
104.17.12.122,4,4,0.00,190.47,0.00,LAX
162.159.1.86,4,4,0.00,193.73,0.00,N/A
198.41.206.158,4,4,0.00,189.91,0.00,N/A
104.16.142.241,4,4,0.00,193.83,0.00,N/A
162.159.16.25,4,4,0.00,189.45,0.00,N/A
104.16.204.110,4,4,0.00,187.89,0.00,N/A
104.16.64.236,4,4,0.00,187.62,0.00,N/A
198.41.203.36,4,4,0.00,184.30,0.00,N/A
198.41.207.98,4,4,0.00,180.47,0.00,N/A
172.65.188.99,4,2,0.50,202.33,0.00,N/A
198.41.201.144,4,4,0.00,176.68,0.00,N/A
198.41.204.201,4,4,0.00,172.92,0.00,N/A
104.16.176.157,4,4,0.00,194.61,0.00,N/A
198.41.200.26,4,4,0.00,168.80,0.00,N/A
162.159.143.91,4,4,0.00,87.50,0.00,N/A
104.16.161.17,4,4,0.00,194.87,0.00,N/A
162.159.237.59,4,4,0.00,194.87,0.00,N/A
104.17.29.160,4,4,0.00,194.98,0.00,N/A
104.16.208.129,4,4,0.00,194.98,0.00,N/A
104.17.28.232,4,4,0.00,194.98,0.00,N/A
104.17.71.23,4,4,0.00,195.16,0.00,N/A
104.16.72.196,4,4,0.00,195.23,0.00,N/A
104.24.64.96,4,4,0.00,195.23,0.00,N/A
104.17.128.189,4,4,0.00,195.37,0.00,N/A
104.17.17.88,4,4,0.00,195.58,0.00,N/A
104.17.64.54,4,4,0.00,195.61,0.00,N/A
162.159.250.244,4,4,0.00,195.69,0.00,N/A
104.17.34.253,4,4,0.00,195.75,0.00,N/A
104.16.223.99,4,4,0.00,195.84,0.00,N/A
104.17.79.119,4,4,0.00,195.99,0.00,N/A
104.16.133.63,4,4,0.00,196.02,0.00,N/A
104.24.201.212,4,4,0.00,196.17,0.00,N/A
104.19.169.72,4,4,0.00,196.20,0.00,N/A
104.17.72.106,4,4,0.00,196.28,0.00,N/A
104.17.15.64,4,4,0.00,196.39,0.00,N/A
104.17.155.42,4,4,0.00,196.41,0.00,N/A
104.16.26.214,4,4,0.00,196.69,0.00,N/A
104.17.182.118,4,4,0.00,196.70,0.00,N/A
104.16.162.107,4,4,0.00,196.87,0.00,N/A
104.17.140.145,4,4,0.00,196.96,0.00,N/A
104.16.149.82,4,4,0.00,197.01,0.00,N/A
104.16.200.14,4,4,0.00,197.13,0.00,N/A
104.17.56.178,4,4,0.00,197.17,0.00,N/A
104.16.227.248,4,4,0.00,197.21,0.00,N/A
104.24.7.120,4,4,0.00,197.25,0.00,N/A
104.16.246.249,4,4,0.00,197.33,0.00,N/A
104.16.185.13,4,4,0.00,197.34,0.00,N/A
104.17.69.135,4,4,0.00,197.41,0.00,N/A
104.17.114.109,4,4,0.00,197.54,0.00,N/A
162.159.23.90,4,4,0.00,197.76,0.00,N/A
104.16.140.175,4,4,0.00,197.77,0.00,N/A
162.159.195.161,4,4,0.00,197.78,0.00,N/A
162.159.51.87,4,4,0.00,197.85,0.00,N/A
104.17.118.29,4,4,0.00,197.95,0.00,N/A
162.159.241.163,4,4,0.00,197.96,0.00,N/A
162.159.246.88,4,4,0.00,198.11,0.00,N/A
104.17.111.47,4,4,0.00,198.24,0.00,N/A
104.17.152.131,4,4,0.00,198.27,0.00,N/A
104.16.249.85,4,4,0.00,198.28,0.00,N/A
162.159.249.205,4,4,0.00,198.45,0.00,N/A
104.16.15.14,4,4,0.00,198.66,0.00,N/A
104.16.57.161,4,4,0.00,198.96,0.00,N/A
104.17.122.211,4,4,0.00,199.16,0.00,N/A
104.16.164.46,4,4,0.00,199.35,0.00,N/A
104.16.128.14,4,4,0.00,199.43,0.00,N/A
104.17.68.16,4,4,0.00,199.43,0.00,N/A
198.41.219.88,4,4,0.00,199.57,0.00,N/A
162.159.212.236,4,4,0.00,199.80,0.00,N/A
104.18.96.201,4,4,0.00,199.80,0.00,N/A
198.41.192.44,4,4,0.00,199.92,0.00,N/A
104.17.142.146,4,4,0.00,199.96,0.00,N/A
104.16.130.18,4,4,0.00,199.98,0.00,N/A
104.17.5.160,4,4,0.00,199.99,0.00,N/A
104.17.133.189,4,4,0.00,200.05,0.00,N/A
162.159.9.148,4,4,0.00,200.23,0.00,N/A
104.17.52.1,4,4,0.00,200.25,0.00,N/A
162.159.21.231,4,4,0.00,200.30,0.00,N/A
104.17.96.24,4,4,0.00,200.34,0.00,N/A
104.17.24.18,4,4,0.00,200.36,0.00,N/A
104.18.224.137,4,4,0.00,200.43,0.00,N/A
104.25.12.150,4,4,0.00,200.54,0.00,N/A
104.16.189.55,4,4,0.00,200.59,0.00,N/A
104.19.241.48,4,4,0.00,200.63,0.00,N/A
162.159.36.117,4,4,0.00,200.64,0.00,N/A
162.159.56.212,4,4,0.00,200.84,0.00,N/A
104.24.209.110,4,4,0.00,200.91,0.00,N/A
104.17.33.130,4,4,0.00,201.05,0.00,N/A
104.24.167.69,4,4,0.00,201.06,0.00,N/A
104.16.53.201,4,4,0.00,201.08,0.00,N/A
104.21.56.216,4,4,0.00,201.13,0.00,N/A
104.17.81.222,4,4,0.00,201.31,0.00,N/A
104.17.106.62,4,4,0.00,201.32,0.00,N/A
104.17.98.116,4,4,0.00,201.39,0.00,N/A
104.18.162.48,4,4,0.00,201.44,0.00,N/A
104.16.27.129,4,4,0.00,201.74,0.00,N/A
162.159.4.163,4,4,0.00,201.95,0.00,N/A
104.17.35.16,4,4,0.00,202.32,0.00,N/A
104.18.39.246,4,4,0.00,202.37,0.00,N/A
104.16.154.222,4,4,0.00,202.43,0.00,N/A
198.41.198.66,4,4,0.00,202.97,0.00,N/A
104.16.132.191,4,4,0.00,203.13,0.00,N/A
104.16.221.205,4,4,0.00,203.17,0.00,N/A
104.19.196.166,4,4,0.00,203.40,0.00,N/A
162.159.247.83,4,4,0.00,203.55,0.00,N/A
104.17.19.132,4,4,0.00,203.71,0.00,N/A
162.159.82.248,4,4,0.00,203.71,0.00,N/A
104.17.120.104,4,4,0.00,203.75,0.00,N/A
104.17.67.70,4,4,0.00,203.87,0.00,N/A
104.16.168.249,4,4,0.00,203.92,0.00,N/A
162.159.25.114,4,4,0.00,204.28,0.00,N/A
162.159.93.233,4,4,0.00,204.33,0.00,N/A
104.16.188.219,4,4,0.00,204.34,0.00,N/A
104.16.8.28,4,4,0.00,204.38,0.00,N/A
162.159.243.136,4,4,0.00,204.42,0.00,N/A
104.17.130.211,4,4,0.00,204.43,0.00,N/A
108.162.198.12,4,4,0.00,204.53,0.00,N/A
104.19.23.121,4,4,0.00,204.56,0.00,N/A
104.16.166.89,4,4,0.00,204.62,0.00,N/A
162.159.17.1,4,4,0.00,204.66,0.00,N/A
198.41.209.198,4,4,0.00,204.68,0.00,N/A
172.67.108.251,4,4,0.00,204.81,0.00,N/A
162.159.235.36,4,4,0.00,204.91,0.00,N/A
104.16.118.244,4,4,0.00,205.03,0.00,N/A
190.93.245.145,4,4,0.00,205.05,0.00,N/A
104.16.218.160,4,4,0.00,205.33,0.00,N/A
104.16.207.15,4,4,0.00,205.49,0.00,N/A
104.16.10.200,4,4,0.00,205.75,0.00,N/A
162.159.229.33,4,4,0.00,205.89,0.00,N/A
104.16.44.31,4,4,0.00,205.92,0.00,N/A
104.16.255.17,4,4,0.00,206.00,0.00,N/A
104.19.162.48,4,4,0.00,206.01,0.00,N/A
104.16.4.65,4,4,0.00,206.02,0.00,N/A
162.159.224.44,4,4,0.00,206.26,0.00,N/A
162.159.193.240,4,4,0.00,206.64,0.00,N/A
162.159.61.242,4,4,0.00,206.90,0.00,N/A
162.159.45.110,4,4,0.00,206.94,0.00,N/A
104.25.9.230,4,4,0.00,207.03,0.00,N/A
172.64.145.192,4,4,0.00,207.16,0.00,N/A
104.20.11.143,4,4,0.00,207.18,0.00,N/A
104.16.214.144,4,4,0.00,207.58,0.00,N/A
198.41.199.226,4,4,0.00,207.68,0.00,N/A
104.16.120.226,4,4,0.00,207.74,0.00,N/A
104.17.116.88,4,4,0.00,208.15,0.00,N/A
162.159.81.207,4,4,0.00,208.42,0.00,N/A
162.159.228.161,4,4,0.00,208.57,0.00,N/A
104.16.37.210,4,4,0.00,209.24,0.00,N/A
104.16.102.135,4,4,0.00,209.59,0.00,N/A
173.245.58.44,4,4,0.00,210.02,0.00,N/A
104.17.70.202,4,4,0.00,210.18,0.00,N/A
104.18.135.135,4,4,0.00,210.34,0.00,N/A
162.159.94.92,4,4,0.00,210.55,0.00,N/A
104.16.116.48,4,4,0.00,210.85,0.00,N/A
173.245.59.248,4,4,0.00,211.07,0.00,N/A
162.159.234.207,4,4,0.00,211.78,0.00,N/A
104.17.91.46,4,4,0.00,211.88,0.00,N/A
108.162.193.109,4,4,0.00,213.10,0.00,N/A
104.17.65.85,4,4,0.00,213.17,0.00,N/A
104.16.12.112,4,4,0.00,215.07,0.00,N/A
103.31.4.34,4,4,0.00,216.44,0.00,N/A
104.16.163.205,4,4,0.00,217.63,0.00,N/A
162.159.197.85,4,4,0.00,218.77,0.00,N/A
104.17.157.221,4,4,0.00,223.80,0.00,N/A
172.64.87.200,4,4,0.00,224.21,0.00,N/A
104.17.136.152,4,4,0.00,227.52,0.00,N/A
104.21.5.151,4,4,0.00,230.15,0.00,N/A
